index;Resistencia;Condutancia;VG;Coef. Linear RES;dR/dVg
9;2512.781474612414;0.0003979653663095;-0.11106764;-0.0007105247350038;
8;2584.094381320301;0.0003869827693712;-0.0858959704;-0.0008017096952274;2833.0622418421985
7;2657.089773776028;0.0003763516046275;-0.06522719675;-0.0008404705995522;3531.675061704819
6;2736.8925674056677;0.0003653778785142;-0.0477075072;-0.0009259204217927;4555.034688365232
5;2822.527897923029;0.0003542923351566;-0.0268108389;-0.0010562644058773;4098.037509518258
4;2915.193865652989;0.0003430303595867;-0.003965344464;-0.0011492744494109;4056.2032040741055
3;3016.5519075523684;0.0003315043236936;0.0148448028599999;-0.001335981935341;5388.476770198198
2;3127.5672614835908;0.0003197373282151;0.0319066154;-0.0014573401152732;6506.656527315338
1;3248.756207759148;0.0003078101082536;0.0521233718999999;-0.0016678944501736;5994.480186550087
0;3377.80491306264;0.0002960502532673;0.076756951;-0.0018253300619671;5238.731439699383
10;3520.294457425379;0.0002840671461135;0.0954993292;-0.0021022212378063;7602.53276517165
11;3676.071115470375;0.0002720295578046;0.111543339;-0.0022737138329668;9709.33451093978
12;3847.847107673536;0.0002598855858918;0.1344524;-0.0026685666200931;7498.168179095643
13;4039.692581915667;0.0002475435889544;0.156837281;-0.0030231408426273;8570.31467990073
14;4251.298071592405;0.0002352222740348;0.1735496035;-0.0034395938418283;12661.644704183875
15;4493.406278316691;0.0002225483159236;0.1911174029999999;-0.0039876443907807;13781.36212929157
16;4770.880080341311;0.0002096049330857;0.2072131175;-0.0047142936567037;17238.986316799983
17;5091.12462151303;0.0001964202557082;0.223955738;-0.0055235381568022;19127.50403508931
18;5460.944648334072;0.0001831185013576;0.2518516395;-0.0066823968173317;13257.14556387579
19;5921.761035049225;0.0001688686851903;0.2707103405;-0.008112754990806;24435.213576754515
20;6455.668822796412;0.0001549026177533;0.2868990755;-0.0100117161145781;32980.20430547457
21;7070.2541860982765;0.0001414376306252;0.308502112;-0.0122114152069641;28449.026751487643
22;7678.814235553685;0.0001302284401372;0.3334873315;-0.0143207899069185;24356.802206817054
23;8223.418155038085;0.0001216039341727;0.348400542;-0.0159854184407282;36518.221176077466
24;8654.464056579127;0.000115547305236;0.3663585459999999;-0.0165739021034746;24002.9961871622
25;8975.301583526929;0.0001114168689145;0.3851917774999999;-0.0163214408407036;17035.713013340388
26;9201.547770714453;0.0001086773687338;0.4084824274999999;-0.0150741000084676;9714.03491046938
27;9352.83055139014;0.0001069195036203;0.4298689134999999;-0.0129640676754185;7073.755860391788
28;9444.961801345748;0.000105876553133;0.446381982;-0.0102804251484905;5579.293149277935
29;9491.169432688366;0.0001053610945513;0.469599968;-0.0073124538416824;1990.165354678858
30;9497.814399318266;0.0001052873806495;0.493230472;-0.0041264566936883;281.20291593863175
31;9468.930612687296;0.0001056085466145;0.5094245570000001;-0.0009096684233557;-1783.601026607512
32;9399.429232117212;0.0001063894386887;0.5254773575000001;0.0018804285074355;-4329.548639820424
33;9284.90920080277;0.0001077016455813;0.5437535899999999;0.004244896598563;-6266.063386665973
34;9120.889299944269;0.0001096384318584;0.5715276690000001;0.0061793326028737;-5905.502784034691
35;8898.925394730395;0.0001123731187354;0.5889409434999999;0.0075822435486649;-12746.82169708377
36;8645.746977360326;0.000115663805871;0.6050863084999999;0.0083839679029976;-15681.182640966583
37;8318.909301397542;0.0001202080661982;0.625914381;0.0086826622500766;-15692.171033242916
38;7984.795442294189;0.0001252380235945;0.6513923889999998;0.0084981055300117;-13113.81404320753
39;7591.51411192002;0.0001317260279381;0.6686474215000002;0.0079373490327639;-22792.26830631359
40;7171.216174556684;0.0001394463610716;0.6848269665000001;0.0070283935943554;-25977.117240524378
41;6785.029565833385;0.0001473832929241;0.709339141;0.0061095755781874;-15754.889829268324
42;6418.111126345054;0.0001558090815684;0.7305716985;0.0051856267318573;-17280.934691373375
43;6047.930130797765;0.0001653458254928;0.7469669385;0.0042705872146536;-22578.56521449462
44;5713.021244497905;0.0001750387329581;0.7648267765000001;0.0034191917597156;-18752.067420760326
45;5420.394442453236;0.0001844884188072;0.790017292;0.002821512079131;-11616.546792965397
46;5162.389837446194;0.0001937087340336;0.8109019120000001;0.0023035601917556;-12353.808927672188
47;4931.026685548399;0.0002027975234712;0.8279202164999998;0.0019037697103888;-13594.958998283222
48;4729.514059827775;0.0002114382127529;0.8439036089999999;0.0015343780145121;-12607.625428745627
49;4547.716006878957;0.000219890599696;0.8652323214999998;0.001278078240268;-8523.629963544145
50;4383.078110616076;0.0002281501663358;0.8898635174999999;0.001095924062542;-6684.121074059129
